Year,Month,Day,Quarter,Date_ID
2015,1,31,1,95
2017,6,11,2,96
2017,9,11,3,97
2017,6,17,2,98
2016,6,9,2,99
2016,8,29,3,100
2016,8,29,3,101
2016,8,29,3,102
2016,1,12,1,103
2015,11,13,4,104
2015,11,13,4,105
2015,11,13,4,106
2017,11,23,4,107
2017,11,23,4,108
2017,11,23,4,109
2015,10,15,4,110
2017,12,25,4,111
2016,3,11,1,112
2016,3,11,1,113
2014,8,25,3,114
2014,8,25,3,115
2014,8,25,3,116
2014,8,25,3,117
2015,2,3,1,118
2015,5,4,2,119
2016,12,6,4,120
2016,12,6,4,121
2016,12,6,4,122
2016,12,6,4,123
2016,12,6,4,124
2014,12,26,4,125
2014,9,20,3,126
2017,5,11,2,127
2017,5,11,2,128
2016,6,11,2,129
2016,6,11,2,130
2017,2,2,1,131
2017,2,2,1,132
2017,2,2,1,133
2016,10,13,4,134
2016,10,13,4,135
2016,10,13,4,136
2016,10,13,4,137
2016,10,13,4,138
2016,10,13,4,139
2016,10,13,4,140
2016,5,9,2,141
2017,9,18,3,142
2017,9,18,3,143
2017,9,18,3,144
2017,12,22,4,145
2015,7,9,3,146
2014,10,22,4,147
2016,5,12,2,148
2016,5,12,2,149
2016,5,12,2,150
2016,5,12,2,151
2016,3,13,1,152
2016,3,13,1,153
2015,5,31,2,154
2015,5,31,2,155
2015,5,31,2,156
2015,5,28,2,157
2014,1,3,1,158
2016,11,20,4,159
2016,11,20,4,160
2016,11,5,4,161
2015,12,28,4,162
2016,11,16,4,163
2016,7,11,3,164
2014,8,9,3,165
2014,8,9,3,166
2014,8,9,3,167
2014,8,9,3,168
2014,8,9,3,169
2014,8,9,3,170
2014,8,9,3,171
2014,5,8,2,172
2014,5,8,2,173
2014,5,8,2,174
2014,9,14,3,175
2014,9,14,3,176
2017,4,21,2,177
2015,11,21,4,178
2015,11,21,4,179
2015,12,15,4,180
2014,5,12,2,181
2014,5,12,2,182
2014,11,19,4,183
2014,11,19,4,184
2014,11,19,4,185
2016,11,28,4,186
2014,8,26,3,187
2016,7,16,3,188
2016,7,16,3,189
2015,12,10,4,190
2015,12,10,4,191
2015,12,10,4,192
2015,12,10,4,193
2015,12,10,4,194
2015,10,31,4,195
2014,3,21,1,196
2014,3,21,1,197
2017,6,11,2,198
2017,6,7,2,199
2017,6,7,2,200
2017,6,24,2,201
2014,3,8,1,202
2014,3,8,1,203
2017,12,17,4,204
2017,3,6,1,205
2017,9,12,3,206
2017,1,12,1,207
2017,1,12,1,208
2017,1,12,1,209
2017,1,12,1,210
2017,1,12,1,211
2015,9,2,3,212
2015,2,1,1,213
2015,2,1,1,214
2015,2,1,1,215
2015,2,1,1,216
2015,2,1,1,217
2016,10,28,4,218
2016,10,28,4,219
2015,12,24,4,220
2015,12,24,4,221
2015,12,24,4,222
2015,12,24,4,223
2015,12,24,4,224
2015,12,24,4,225
2015,9,8,3,226
2015,9,8,3,227
2015,9,8,3,228
2015,2,28,1,229
2015,2,28,1,230
2014,9,13,3,231
2017,7,4,3,232
2017,7,4,3,233
2017,7,4,3,234
2017,7,4,3,235
2017,7,4,3,236
2017,12,11,4,237
2016,4,6,2,238
2016,4,6,2,239
2016,4,6,2,240
2016,4,6,2,241
2016,4,6,2,242
2016,4,6,2,243
2016,4,6,2,244
2014,1,6,1,245
2014,1,6,1,246
2014,1,6,1,247
2014,1,6,1,248
2014,1,6,1,249
2016,10,12,4,250
2016,11,9,4,251
2016,11,9,4,252
2016,10,12,4,253
2016,10,12,4,254
2015,11,28,4,255
2015,11,28,4,256
2015,11,28,4,257
2015,11,28,4,258
2017,1,12,1,259
2017,1,12,1,260
2017,1,12,1,261
2017,8,6,3,262
2014,9,19,3,263
2014,9,19,3,264
2016,6,6,2,265
2015,10,11,4,266
2017,6,16,2,267
2016,1,22,1,268
2017,9,12,3,269
2017,9,12,3,270
2017,12,28,4,271
2015,7,30,3,272
2015,7,30,3,273
2015,7,30,3,274
2017,9,16,3,275
2017,9,16,3,276
2017,10,13,4,277
2017,10,13,4,278
2017,10,13,4,279
2017,10,13,4,280
2015,9,26,3,281
2015,9,26,3,282
2015,2,11,1,283
2015,9,26,3,284
2015,9,26,3,285
2015,9,26,3,286
2016,12,18,4,287
2016,12,18,4,288
2016,12,18,4,289
2016,11,20,4,290
2016,11,20,4,291
2016,11,20,4,292
2016,11,20,4,293
2014,12,26,4,294
2014,12,26,4,295
2014,12,26,4,296
2014,12,26,4,297
2014,12,26,4,298
2016,10,28,4,299
2016,10,28,4,300
2016,10,28,4,301
2016,10,28,4,302
2016,10,28,4,303
2017,11,19,4,304
2015,4,5,2,305
2014,12,30,4,306
2014,1,6,1,307
2014,1,6,1,308
2017,4,15,2,309
2016,12,9,4,310
2016,12,9,4,311
2016,12,9,4,312
2016,12,9,4,313
2014,9,27,3,314
2014,9,8,3,315
2014,9,8,3,316
2014,12,28,4,317
2014,4,11,2,318
2014,4,11,2,319
2014,4,11,2,320
2014,4,11,2,321
2014,4,11,2,322
2014,9,19,3,323
2016,4,23,2,324
2016,4,23,2,325
2017,3,11,1,326
2016,8,30,3,327
2016,8,30,3,328
2016,8,30,3,329
2016,8,30,3,330
2016,8,30,3,331
2016,4,25,2,332
2016,4,25,2,333
2016,4,25,2,334
2015,1,9,1,335
2015,1,9,1,336
2015,1,9,1,337
2014,12,7,4,338
2014,12,7,4,339
2015,6,22,2,340
2014,4,13,2,341
2014,4,13,2,342
2014,4,13,2,343
2014,4,13,2,344
2015,12,20,4,345
2017,6,15,2,346
2017,8,7,3,347
2017,8,7,3,348
2017,8,7,3,349
2016,1,9,1,350
2016,1,9,1,351
2016,1,9,1,352
2016,1,9,1,353
2016,1,9,1,354
2016,8,4,3,355
2016,8,4,3,356
2016,8,4,3,357
2016,8,4,3,358
2016,4,23,2,359
2017,8,3,3,360
2017,8,3,3,361
2017,9,25,3,362
2017,9,25,3,363
2017,9,25,3,364
2017,9,25,3,365
2014,9,24,3,366
2016,10,21,4,367
2016,10,21,4,368
2016,10,21,4,369
2016,10,21,4,370
2017,5,29,2,371
2017,5,29,2,372
2014,7,23,3,373
2014,7,23,3,374
2014,7,23,3,375
2014,7,23,3,376
2016,9,28,3,377
2017,8,27,3,378
2015,4,28,2,379
2015,4,28,2,380
2015,4,28,2,381
2016,10,28,4,382
2016,10,28,4,383
2015,6,26,2,384
2015,11,27,4,385
2015,11,27,4,386
2015,3,12,1,387
2015,3,12,1,388
2014,11,24,4,389
2017,11,12,4,390
2017,11,12,4,391
2014,9,21,3,392
2014,9,21,3,393
2014,7,6,3,394
2017,6,30,2,395
2017,10,17,4,396
2017,10,17,4,397
2015,10,31,4,398
2016,8,9,3,399
2016,8,9,3,400
2016,8,9,3,401
2016,8,9,3,402
2014,12,24,4,403
2014,4,16,2,404
2017,12,24,4,405
2017,8,12,3,406
2017,8,12,3,407
2017,8,12,3,408
2017,8,12,3,409
2017,8,12,3,410
2017,8,12,3,411
2017,8,12,3,412
2017,8,12,3,413
2017,8,12,3,414
2017,3,11,1,415
2017,3,11,1,416
2017,6,24,2,417
2016,4,14,2,418
2017,6,11,2,419
2017,4,3,2,420
2017,4,3,2,421
2014,6,22,2,422
2017,10,19,4,423
2017,10,19,4,424
2017,8,21,3,425
2017,11,23,4,426
2017,11,23,4,427
2014,12,9,4,428
2017,1,10,1,429
2016,4,15,2,430
2016,4,15,2,431
2016,4,15,2,432
2016,4,15,2,433
2016,6,6,2,434
2014,12,19,4,435
2014,12,19,4,436
2016,12,6,4,437
2016,12,6,4,438
2017,9,15,3,439
2017,1,20,1,440
2016,5,9,2,441
2016,5,9,2,442
2016,5,9,2,443
2016,5,9,2,444
2016,5,9,2,445
2016,5,9,2,446
2017,3,20,1,447
2016,1,4,1,448
2016,1,4,1,449
2016,1,4,1,450
2016,1,4,1,451
2016,1,4,1,452
2016,1,4,1,453
2017,10,20,4,454
2017,10,20,4,455
2016,12,13,4,456
2014,12,2,4,457
2016,9,26,3,458
2016,9,26,3,459
2015,12,15,4,460
2015,12,15,4,461
2015,12,15,4,462
2016,4,22,2,463
2016,4,22,2,464
2016,4,22,2,465
2016,4,22,2,466
2016,4,22,2,467
2015,1,17,1,468
2017,3,31,1,469
2016,12,16,4,470
2015,12,20,4,471
2014,9,11,3,472
2014,9,11,3,473
2014,9,11,3,474
2014,9,11,3,475
2014,9,11,3,476
2014,9,11,3,477
2016,12,7,4,478
2016,10,27,4,479
2016,6,26,2,480
2016,6,26,2,481
2014,6,10,2,482
2014,7,22,3,483
2014,7,22,3,484
2017,10,6,4,485
2017,10,6,4,486
2017,10,6,4,487
2014,10,29,4,488
2014,9,6,3,489
2014,9,6,3,490
2014,9,6,3,491
2014,9,14,3,492
2014,9,14,3,493
2016,9,5,3,494
2016,3,18,1,495
2015,12,27,4,496
2016,7,25,3,497
2016,7,25,3,498
2016,7,25,3,499
2016,7,25,3,500
2016,5,30,2,501
2016,5,30,2,502
2016,5,30,2,503
2016,5,30,2,504
2016,5,30,2,505
2017,12,11,4,506
2015,3,16,1,507
2015,3,16,1,508
2015,3,16,1,509
2015,3,16,1,510
2017,11,26,4,511
2017,11,26,4,512
2016,10,20,4,513
2017,12,21,4,514
2017,12,21,4,515
2017,1,22,1,516
2017,1,22,1,517
2017,1,22,1,518
2017,1,22,1,519
2015,3,22,1,520
2015,3,22,1,521
2015,3,22,1,522
2017,1,23,1,523
2016,5,21,2,524
2016,5,21,2,525
2015,12,26,4,526
2017,10,21,4,527
2017,10,21,4,528
2015,3,9,1,529
2015,3,9,1,530
2015,3,9,1,531
2015,7,11,3,532
2017,7,9,3,533
2016,5,29,2,534
2016,5,29,2,535
2016,10,7,4,536
2017,3,9,1,537
2015,3,12,1,538
2015,7,12,3,539
2015,7,12,3,540
2014,1,2,1,541
2016,7,14,3,542
2015,12,18,4,543
2014,11,5,4,544
2014,11,5,4,545
2014,11,5,4,546
2017,11,19,4,547
2017,11,19,4,548
2015,11,15,4,549
2015,11,15,4,550
2015,11,15,4,551
2016,4,15,2,552
2017,11,9,4,553
2017,11,24,4,554
2017,6,29,2,555
2014,3,3,1,556
2016,10,6,4,557
2016,10,6,4,558
2016,10,6,4,559
2017,11,20,4,560
2017,11,20,4,561
2014,9,14,3,562
2014,9,14,3,563
2015,7,12,3,564
2015,7,12,3,565
2017,7,12,3,566
2017,1,10,1,567
2017,1,10,1,568
2017,1,10,1,569
2017,1,10,1,570
2017,12,28,4,571
2017,12,28,4,572
2017,12,28,4,573
2017,12,28,4,574
2016,3,11,1,575
2015,9,18,3,576
2015,9,18,3,577
2015,9,18,3,578
2017,7,20,3,579
2017,7,20,3,580
2015,10,9,4,581
2017,1,12,1,582
2017,1,12,1,583
2017,1,12,1,584
2017,1,12,1,585
2017,1,12,1,586
2015,3,7,1,587
2015,3,7,1,588
2016,3,20,1,589
2016,3,20,1,590
2016,3,20,1,591
2016,3,20,1,592
2014,9,1,3,593
2014,9,1,3,594
2014,8,8,3,595
2014,8,8,3,596
2014,8,8,3,597
2014,8,8,3,598
2016,7,14,3,599
2016,7,16,3,600
2016,7,16,3,601
2016,7,16,3,602
2014,3,15,1,603
2014,3,15,1,604
2014,3,15,1,605
2014,3,15,1,606
2014,3,15,1,607
2014,5,23,2,608
2014,5,23,2,609
2014,5,23,2,610
2016,4,28,2,611
2016,4,28,2,612
2016,11,9,4,613
2016,11,9,4,614
2017,11,14,4,615
2017,11,14,4,616
2017,8,18,3,617
2017,8,18,3,618
2017,8,18,3,619
2017,8,18,3,620
2017,8,18,3,621
2014,12,26,4,622
2015,11,29,4,623
2015,11,29,4,624
2015,11,29,4,625
2015,11,29,4,626
2017,9,15,3,627
2017,5,19,2,628
2017,12,17,4,629
2017,12,17,4,630
2016,11,12,4,631
2016,11,12,4,632
2016,11,12,4,633
2017,9,24,3,634
2017,9,24,3,635
2015,4,10,2,636
2016,8,15,3,637
2016,8,15,3,638
2016,5,20,2,639
2016,5,20,2,640
2016,12,18,4,641
2017,7,30,3,642
2017,7,30,3,643
2017,10,6,4,644
2017,7,21,3,645
2017,12,30,4,646
2016,1,4,1,647
2016,1,4,1,648
2016,11,12,4,649
2016,11,12,4,650
2016,11,12,4,651
2016,10,23,4,652
2017,6,19,2,653
2017,6,19,2,654
2016,8,22,3,655
2016,8,22,3,656
2016,8,22,3,657
2016,9,19,3,658
2016,9,19,3,659
2015,8,24,3,660
2015,8,24,3,661
2015,8,24,3,662
2015,8,24,3,663
2016,3,26,1,664
2016,4,11,2,665
2017,8,6,3,666
2017,8,6,3,667
2017,8,6,3,668
2014,12,24,4,669
2017,9,6,3,670
2017,9,6,3,671
2017,9,6,3,672
2017,6,15,2,673
2017,5,12,2,674
2017,5,12,2,675
2017,5,12,2,676
2017,3,18,1,677
2017,3,18,1,678
2017,3,18,1,679
2017,3,18,1,680
2016,11,19,4,681
2016,11,19,4,682
2016,11,19,4,683
2017,4,11,2,684
2017,4,11,2,685
2014,5,7,2,686
2014,5,7,2,687
2014,5,7,2,688
2017,12,25,4,689
2014,6,21,2,690
2014,6,21,2,691
2014,6,21,2,692
2015,3,28,1,693
2015,3,28,1,694
2015,5,14,2,695
2015,5,14,2,696
2015,5,14,2,697
2015,5,14,2,698
2015,5,14,2,699
2015,5,14,2,700
2015,5,14,2,701
2017,2,9,1,702
2016,4,11,2,703
2015,9,4,3,704
2014,12,9,4,705
2014,12,9,4,706
2014,12,9,4,707
2014,2,12,1,708
2014,2,12,1,709
2014,2,12,1,710
2014,5,4,2,711
2017,3,9,1,712
2017,5,19,2,713
2017,5,19,2,714
2017,5,19,2,715
2014,1,7,1,716
2014,11,1,4,717
2017,9,24,3,718
2014,2,6,1,719
2014,2,6,1,720
2016,2,13,1,721
2016,12,15,4,722
2016,12,15,4,723
2014,7,10,3,724
2016,7,7,3,725
2017,9,16,3,726
2017,9,16,3,727
2016,3,12,1,728
2016,3,12,1,729
2016,3,12,1,730
2016,3,12,1,731
2016,3,12,1,732
2017,1,21,1,733
2017,1,21,1,734
2017,1,21,1,735
2017,1,21,1,736
2017,1,21,1,737
2017,1,21,1,738
2014,8,9,3,739
2014,4,1,2,740
2014,4,1,2,741
2014,4,1,2,742
2016,8,27,3,743
2016,8,27,3,744
2016,8,27,3,745
2016,8,27,3,746
2014,5,27,2,747
2014,5,27,2,748
2016,3,20,1,749
2017,2,10,1,750
2017,2,10,1,751
2017,2,10,1,752
2017,2,10,1,753
2016,7,4,3,754
2015,7,12,3,755
2016,9,18,3,756
2014,12,29,4,757
2014,12,29,4,758
2017,7,23,3,759
2017,9,18,3,760
2015,8,31,3,761
2017,3,11,1,762
2015,8,2,3,763
2014,1,13,1,764
2014,1,13,1,765
2014,1,13,1,766
2014,1,13,1,767
2014,1,13,1,768
2014,5,14,2,769
2016,5,19,2,770
2017,1,30,1,771
2017,1,30,1,772
2017,1,30,1,773
2017,1,30,1,774
2017,1,30,1,775
2017,1,30,1,776
2014,6,29,2,777
2015,8,21,3,778
2015,8,21,3,779
2015,8,21,3,780
2015,8,21,3,781
2015,3,10,1,782
2015,3,10,1,783
2015,3,10,1,784
2015,3,10,1,785
2015,5,23,2,786
2017,3,17,1,787
2015,12,12,4,788
2015,6,26,2,789
2015,6,26,2,790
2015,6,26,2,791
2015,6,26,2,792
2016,5,20,2,793
2014,9,20,3,794
2014,9,20,3,795
2017,9,21,3,796
2015,12,24,4,797
2015,12,24,4,798
2015,12,24,4,799
2015,11,27,4,800
2017,2,20,1,801
2017,2,20,1,802
2016,8,18,3,803
2016,12,3,4,804
2017,4,22,2,805
2014,1,11,1,806
2014,1,11,1,807
2015,3,2,1,808
2015,3,2,1,809
2014,10,13,4,810
2014,10,13,4,811
2014,10,13,4,812
2014,10,13,4,813
2017,5,14,2,814
2017,5,14,2,815
2015,3,20,1,816
2016,9,15,3,817
2014,6,28,2,818
2014,6,28,2,819
2014,6,28,2,820
2014,6,28,2,821
2014,6,28,2,822
2017,6,20,2,823
2017,6,20,2,824
2014,9,5,3,825
2014,9,5,3,826
2017,8,21,3,827
2017,8,21,3,828
2017,8,21,3,829
2017,6,16,2,830
2017,6,16,2,831
2017,6,16,2,832
2017,6,16,2,833
2016,7,23,3,834
2016,7,23,3,835
2016,7,23,3,836
2014,8,9,3,837
2017,4,11,2,838
2016,7,3,3,839
2015,11,20,4,840
2015,11,20,4,841
2015,11,20,4,842
2016,7,11,3,843
2016,7,11,3,844
2016,7,11,3,845
2016,7,11,3,846
2015,10,13,4,847
2015,10,13,4,848
2017,1,1,1,849
2014,7,2,3,850
2016,6,20,2,851
2016,6,20,2,852
2016,5,28,2,853
2016,2,19,1,854
2016,2,19,1,855
2014,3,8,1,856
2014,3,8,1,857
2014,3,8,1,858
2017,10,4,4,859
2017,10,4,4,860
2014,9,6,3,861
2014,9,6,3,862
2016,5,1,2,863
2016,5,1,2,864
2016,5,1,2,865
2014,10,1,4,866
2014,10,1,4,867
2016,9,29,3,868
2014,6,4,2,869
2016,3,9,1,870
2016,3,9,1,871
2015,10,19,4,872
2014,10,12,4,873
2014,10,12,4,874
2017,8,25,3,875
2016,1,17,1,876
2016,1,17,1,877
2016,1,17,1,878
2014,9,17,3,879
2017,11,30,4,880
2017,11,30,4,881
2015,9,10,3,882
2017,12,23,4,883
2016,10,22,4,884
2014,4,29,2,885
2015,4,25,2,886
2017,6,26,2,887
2017,10,14,4,888
2014,9,12,3,889
2017,6,20,2,890
2017,6,20,2,891
2017,6,26,2,892
2017,6,26,2,893
2017,6,26,2,894
2016,10,11,4,895
2016,10,11,4,896
2016,3,10,1,897
2014,9,9,3,898
2017,10,29,4,899
2016,10,4,4,900
2017,11,11,4,901
2017,11,11,4,902
2017,9,15,3,903
2016,8,4,3,904
2016,8,4,3,905
2016,8,4,3,906
2017,12,30,4,907
2017,12,30,4,908
2017,12,30,4,909
2017,2,9,1,910
2017,2,9,1,911
2017,2,9,1,912
2015,5,31,2,913
2017,11,27,4,914
2017,11,27,4,915
2014,6,15,2,916
2014,6,15,2,917
2014,6,15,2,918
2016,5,3,2,919
2016,5,3,2,920
2014,5,12,2,921
2015,11,4,4,922
2015,11,4,4,923
2015,11,4,4,924
2016,9,15,3,925
2014,9,13,3,926
2014,9,13,3,927
2015,5,10,2,928
2015,5,10,2,929
2017,4,14,2,930
2017,4,14,2,931
2017,4,14,2,932
2017,2,9,1,933
2016,6,20,2,934
2016,6,20,2,935
2016,6,20,2,936
2016,6,20,2,937
2017,5,11,2,938
2015,12,13,4,939
2015,12,13,4,940
2016,6,19,2,941
2016,12,13,4,942
2016,12,13,4,943
2015,5,29,2,944
2015,5,29,2,945
2015,5,29,2,946
2015,7,26,3,947
2017,11,28,4,948
2017,11,28,4,949
2017,11,28,4,950
2017,11,28,4,951
2017,11,28,4,952
2017,3,4,1,953
2017,12,28,4,954
2017,12,28,4,955
2017,11,30,4,956
2017,5,15,2,957
2017,5,15,2,958
2017,5,15,2,959
2015,9,22,3,960
2017,11,14,4,961
2015,11,27,4,962
2016,1,9,1,963
2014,9,22,3,964
2017,9,4,3,965
2017,9,4,3,966
2017,9,4,3,967
2017,9,4,3,968
2017,9,4,3,969
2017,9,4,3,970
2014,1,16,1,971
2014,1,16,1,972
2014,1,16,1,973
2014,1,16,1,974
2017,5,10,2,975
2017,5,10,2,976
2017,9,7,3,977
2017,7,1,3,978
2016,5,30,2,979
2015,9,12,3,980
2016,3,10,1,981
2014,11,11,4,982
2014,11,11,4,983
2014,11,11,4,984
2017,9,29,3,985
2017,9,29,3,986
2017,9,29,3,987
2015,10,3,4,988
2017,5,21,2,989
2017,5,21,2,990
2015,3,29,1,991
2016,9,9,3,992
2016,8,26,3,993
2016,8,26,3,994
2014,5,21,2,995
2014,5,21,2,996
2015,10,28,4,997
2015,10,28,4,998
2015,10,28,4,999
2015,10,28,4,1000
2016,11,13,4,1001
2015,7,31,3,1002
2015,7,31,3,1003
2015,7,31,3,1004
2015,8,27,3,1005
2015,11,13,4,1006
2015,6,11,2,1007
2015,6,11,2,1008
2017,12,26,4,1009
2017,1,8,1,1010
2014,11,24,4,1011
2017,6,17,2,1012
2017,6,17,2,1013
2015,12,21,4,1014
2015,12,21,4,1015
2015,9,17,3,1016
2015,6,7,2,1017
2015,6,7,2,1018
2015,6,7,2,1019
2015,6,7,2,1020
2015,4,27,2,1021
2015,4,27,2,1022
2015,4,27,2,1023
2015,6,16,2,1024
2017,12,17,4,1025
2016,11,1,4,1026
2016,11,1,4,1027
2016,11,1,4,1028
2014,11,7,4,1029
2014,11,7,4,1030
2014,11,7,4,1031
2014,11,7,4,1032
2014,11,7,4,1033
2016,11,20,4,1034
2016,11,20,4,1035
2016,11,20,4,1036
2016,4,22,2,1037
2015,6,13,2,1038
2017,11,20,4,1039
2017,11,20,4,1040
2016,3,20,1,1041
2016,6,9,2,1042
2016,6,9,2,1043
2017,9,7,3,1044
2017,9,7,3,1045
2017,12,10,4,1046
2016,8,3,3,1047
2016,8,3,3,1048
2014,5,27,2,1049
2014,5,27,2,1050
2015,3,7,1,1051
2015,3,7,1,1052
2015,3,7,1,1053
2015,4,4,2,1054
2015,4,4,2,1055
2015,4,4,2,1056
2015,4,4,2,1057
2017,10,12,4,1058
2017,10,12,4,1059
2016,11,24,4,1060
2015,3,23,1,1061
2015,4,16,2,1062
2015,4,16,2,1063
2015,4,16,2,1064
2015,4,16,2,1065
2015,4,16,2,1066
2015,4,16,2,1067
2016,1,10,1,1068
2017,9,28,3,1069
2015,7,25,3,1070
2015,11,20,4,1071
2016,4,28,2,1072
2017,11,14,4,1073
2016,12,11,4,1074
2016,12,11,4,1075
2016,12,11,4,1076
2016,9,29,3,1077
2017,9,23,3,1078
2017,9,23,3,1079
2017,9,23,3,1080
2015,11,29,4,1081
2015,11,29,4,1082
2016,1,3,1,1083
2016,1,3,1,1084
2016,1,3,1,1085
2016,1,3,1,1086
2016,12,8,4,1087
2016,8,15,3,1088
2016,8,15,3,1089
2017,4,6,2,1090
2017,4,6,2,1091
2015,6,12,2,1092
2015,6,12,2,1093
2015,12,27,4,1094
2015,12,27,4,1095
2017,1,21,1,1096
2017,1,21,1,1097
2014,6,25,2,1098
2016,6,14,2,1099
2016,6,14,2,1100
2016,6,14,2,1101
2016,6,14,2,1102
2017,4,21,2,1103
2017,4,21,2,1104
2016,10,21,4,1105
2016,11,19,4,1106
2016,11,19,4,1107
2016,11,19,4,1108
2016,11,19,4,1109
2016,11,19,4,1110
2016,11,19,4,1111
2016,11,19,4,1112
2016,11,19,4,1113
2017,12,18,4,1114
2017,12,18,4,1115
2017,12,18,4,1116
2016,7,22,3,1117
2015,4,9,2,1118
2015,4,9,2,1119
2015,4,9,2,1120
2015,4,9,2,1121
2014,1,20,1,1122
2014,1,20,1,1123
2014,1,20,1,1124
2014,1,20,1,1125
2014,1,20,1,1126
2014,1,20,1,1127
2015,2,3,1,1128
2015,2,3,1,1129
2016,12,4,4,1130
2016,12,4,4,1131
2016,12,4,4,1132
2016,6,12,2,1133
2016,5,6,2,1134
2016,5,6,2,1135
2016,11,12,4,1136
2016,12,11,4,1137
2016,12,11,4,1138
2016,12,11,4,1139
2016,12,11,4,1140
2016,12,11,4,1141
2014,9,29,3,1142
2014,9,29,3,1143
2014,9,29,3,1144
2014,9,29,3,1145
2014,9,29,3,1146
2015,4,4,2,1147
2015,4,4,2,1148
2015,4,4,2,1149
2015,4,4,2,1150
2015,4,4,2,1151
2015,8,5,3,1152
2016,12,31,4,1153
2016,12,31,4,1154
2014,12,20,4,1155
2014,12,20,4,1156
2014,12,20,4,1157
2014,12,20,4,1158
2016,2,7,1,1159
2017,6,29,2,1160
2017,6,29,2,1161
2014,1,9,1,1162
2014,3,3,1,1163
2014,3,3,1,1164
2014,3,3,1,1165
2014,4,5,2,1166
2015,2,11,1,1167
2017,8,12,3,1168
2017,8,12,3,1169
2017,8,12,3,1170
2017,8,12,3,1171
2014,10,3,4,1172
2014,4,21,2,1173
2015,10,22,4,1174
2015,8,22,3,1175
2016,8,29,3,1176
2014,12,27,4,1177
2016,1,12,1,1178
2016,1,12,1,1179
2016,4,24,2,1180
2014,6,21,2,1181
2014,6,21,2,1182
2017,1,14,1,1183
2017,1,14,1,1184
2014,11,24,4,1185
2014,11,24,4,1186
2014,11,24,4,1187
2014,11,24,4,1188
2017,2,26,1,1189
2017,2,26,1,1190
2017,2,26,1,1191
2017,2,26,1,1192
2017,2,26,1,1193
2015,9,15,3,1194
2015,9,15,3,1195
2015,9,15,3,1196
2015,9,15,3,1197
2016,8,4,3,1198
2016,8,4,3,1199
2016,8,4,3,1200
2016,7,18,3,1201
2016,7,18,3,1202
2016,7,18,3,1203
2016,7,18,3,1204
2016,7,18,3,1205
2017,1,8,1,1206
2016,7,14,3,1207
2016,7,14,3,1208
2016,7,14,3,1209
2016,7,14,3,1210
2016,7,14,3,1211
2016,7,14,3,1212
2017,9,9,3,1213
2017,9,9,3,1214
2017,9,9,3,1215
2017,9,9,3,1216
2017,9,9,3,1217
2017,9,9,3,1218
2017,9,9,3,1219
2017,9,9,3,1220
2014,12,7,4,1221
2014,12,7,4,1222
2016,4,12,2,1223
2016,4,12,2,1224
2016,4,12,2,1225
2016,4,12,2,1226
2016,4,12,2,1227
2016,4,12,2,1228
2017,6,11,2,1229
2017,6,11,2,1230
2017,6,11,2,1231
2015,10,31,4,1232
2015,10,31,4,1233
2016,5,30,2,1234
2016,10,28,4,1235
2016,10,28,4,1236
2016,10,28,4,1237
2016,10,28,4,1238
2014,11,8,4,1239
2014,11,8,4,1240
2014,11,8,4,1241
2016,8,29,3,1242
2016,2,15,1,1243
2016,2,15,1,1244
2017,5,14,2,1245
2014,12,12,4,1246
