Product_ID,Category,Sub_Category,Name
109,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue"
110,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders"
111,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes"
112,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2"
113,Office Supplies,Paper,Xerox 1921
114,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White"
115,Furniture,Tables,Hon Racetrack Conference Tables
116,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine
117,Furniture,Furnishings,Artistic Insta-Plaque
118,Office Supplies,Storage,"Companion Letter/Legal File, Black"
119,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes
120,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7
121,Furniture,Chairs,Global Deluxe High-Back Manager's Chair
122,Furniture,Tables,Bevis 44 x 96 Conference Tables
123,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels"
124,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black"
125,Furniture,Chairs,"Global Task Chair, Black"
126,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets
127,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5
128,Office Supplies,Paper,Xerox 1916
129,Office Supplies,Fasteners,Staples
130,Office Supplies,Paper,Xerox 195
131,Office Supplies,Paper,Xerox 1880
132,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box"
133,Office Supplies,Fasteners,Ideal Clamps
134,Office Supplies,Binders,GBC Wire Binding Strips
135,Office Supplies,Supplies,Fiskars Softgrip Scissors
136,Office Supplies,Art,Newell 343
137,Office Supplies,Envelopes,Convenience Packs of Business Envelopes
138,Office Supplies,Paper,Xerox 1911
139,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators
140,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock"
141,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C
142,Technology,Phones,Anker Astro 15000mAh USB Portable Charger
143,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers
144,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection
145,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset
146,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes
147,Office Supplies,Paper,Xerox 1883
148,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black"
149,Office Supplies,Art,Newell 311
150,Office Supplies,Labels,Avery 519
151,Technology,Phones,Avaya 5420 Digital phone
152,Office Supplies,Paper,Xerox 1920
153,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad
154,Office Supplies,Envelopes,Staple envelope
155,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders
156,Office Supplies,Art,BIC Brite Liner Highlighters
157,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer
158,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.
159,Furniture,Chairs,SAFCO Arco Folding Chair
160,Office Supplies,Art,Sanford Liquid Accent Highlighters
161,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center
162,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker
163,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”"
164,Office Supplies,Paper,Xerox 1913
165,Furniture,Chairs,"Global Value Steno Chair, Gray"
166,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center
167,Office Supplies,Labels,Avery 51
168,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection"
169,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton"
170,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener
171,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count"
172,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black"
173,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB
174,Technology,Phones,AT&T TR1909W
175,Technology,Phones,Nokia Lumia 521 (T-Mobile)
176,Technology,Accessories,HP Standard 104 key PS/2 Keyboard
177,Office Supplies,Binders,Avery Poly Binder Pockets
178,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card
179,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray"
180,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors"
181,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink
182,Office Supplies,Paper,Xerox 205
183,Office Supplies,Art,4009 Highlighters by Sanford
184,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set"
185,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box"
186,Office Supplies,Storage,Decoflex Hanging Personal Folder File
187,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue"
188,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page"
189,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes
190,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables
191,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack"
192,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright
193,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy"
194,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone
195,Office Supplies,Storage,"Tennsco Lockers, Gray"
196,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone
197,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head"
198,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h"
199,Technology,Accessories,Memorex Micro Travel Drive 8 GB
200,Office Supplies,Labels,Avery 505
201,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine
202,Technology,Machines,Cisco 9971 IP Video Phone Charcoal
203,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive
204,Technology,Phones,Adtran 1202752G1
205,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips
206,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle"
207,Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock"
208,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder
209,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners
210,Office Supplies,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow"
211,Furniture,Tables,Bevis 36 x 72 Conference Tables
212,Office Supplies,Storage,Rogers Deluxe File Chest
213,Furniture,Chairs,Global Low Back Tilter Chair
214,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo"
215,Office Supplies,Binders,GBC Instant Index System for Binding Systems
216,Furniture,Tables,Bush Advantage Collection Round Conference Table
217,Furniture,Tables,Bretford Rectangular Conference Table Tops
218,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49"""
219,Technology,Accessories,Logitech P710e Mobile Speakerphone
220,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)
221,Office Supplies,Paper,Xerox 1957
222,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base
223,Furniture,Furnishings,Staple-based wall hangings
224,Technology,Phones,PureGear Roll-On Screen Protector
225,Furniture,Tables,KI Conference Tables
226,Furniture,Furnishings,Eldon 100 Class Desk Accessories
227,Office Supplies,Storage,Safco Steel Mobile File Cart
228,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book"
229,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room
230,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black"
231,Office Supplies,Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page"
232,Office Supplies,Storage,"Fellowes Personal Hanging Folder Files, Navy"
233,Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes
234,Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black"
235,Technology,Phones,Logitech Mobile Speakerphone P710e - speaker phone
236,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub
237,Office Supplies,Storage,Safco Industrial Shelving
238,Office Supplies,Binders,Acco 3-Hole Punch
239,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac
240,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer
241,Technology,Phones,Cisco Small Business SPA 502G VoIP phone
242,Technology,Accessories,Microsoft Sculpt Comfort Mouse
243,Office Supplies,Art,"Quartet Omega Colored Chalk, 12/Pack"
244,Office Supplies,Fasteners,Bagged Rubber Bands
245,Office Supplies,Storage,Safco Commercial Shelving
246,Office Supplies,Envelopes,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13"
247,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart
248,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling
249,Furniture,Furnishings,Regeneration Desk Collection
250,Office Supplies,Binders,Presstex Flexible Ring Binders
251,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled"
252,Office Supplies,Art,Newell 330
253,Office Supplies,Paper,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad"
254,Office Supplies,Paper,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages"
255,Office Supplies,Storage,Eldon Simplefile Box Office
256,Office Supplies,Labels,Avery 489
257,Office Supplies,Binders,Round Ring Binders
258,Technology,Phones,Bose SoundLink Bluetooth Speaker
259,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top"
260,Office Supplies,Paper,Easy-staple paper
261,Technology,Accessories,Microsoft Arc Touch Mouse
262,Office Supplies,Paper,Xerox 216
263,Office Supplies,Binders,GBC VeloBinder Electric Binding Machine
264,Office Supplies,Supplies,Premier Automatic Letter Opener
265,Office Supplies,Fasteners,Advantus SlideClip Paper Clips
266,Office Supplies,Labels,Avery 512
267,Technology,Accessories,Logitech Wireless Gaming Headset G930
268,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish"
269,Furniture,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock"
270,Furniture,Chairs,Global Deluxe Office Fabric Chairs
271,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection
272,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers
273,Office Supplies,Fasteners,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box"
274,Office Supplies,Paper,Xerox 223
275,Office Supplies,Storage,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand"
276,Office Supplies,Paper,Xerox 1939
277,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts"
278,Office Supplies,Binders,Avery Premier Heavy-Duty Binder with Round Locking Rings
279,Furniture,Tables,BPI Conference Tables
280,Furniture,Furnishings,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp
281,Office Supplies,Art,Newell 350
282,Office Supplies,Binders,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack"
283,Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners
284,Office Supplies,Art,Faber Castell Col-Erase Pencils
285,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings
286,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs
287,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany"
288,Office Supplies,Labels,Avery 509
289,Furniture,Furnishings,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black"
290,Technology,Phones,AT&T 1070 Corded Phone
291,Office Supplies,Paper,Xerox 21
292,Office Supplies,Art,"Boston School Pro Electric Pencil Sharpener, 1670"
293,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair
294,Technology,Machines,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier
295,Technology,Accessories,NETGEAR N750 Dual Band Wi-Fi Gigabit Router
296,Office Supplies,Fasteners,OIC Binder Clips
297,Technology,Accessories,Logitech Wireless Headset h800
298,Furniture,Furnishings,Telescoping Adjustable Floor Lamp
299,Technology,Phones,Aastra 57i VoIP phone
300,Office Supplies,Storage,"File Shuttle II and Handi-File, Black"
301,Furniture,Chairs,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs
302,Office Supplies,Labels,Round Specialty Laser Printer Labels
303,Office Supplies,Binders,GBC Premium Transparent Covers with Diagonal Lined Pattern
304,Technology,Phones,AT&T 841000 Phone
305,Office Supplies,Binders,Ibico Recycled Grain-Textured Covers
306,Office Supplies,Binders,Wilson Jones Custom Binder Spines & Labels
307,Office Supplies,Binders,Storex Dura Pro Binders
308,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier
309,Office Supplies,Binders,Avery Non-Stick Binders
310,Office Supplies,Binders,Tuff Stuff Recycled Round Ring Binders
311,Furniture,Tables,Hon 5100 Series Wood Tables
312,Office Supplies,Fasteners,"OIC Binder Clips, Mini, 1/4"" Capacity, Black"
313,Office Supplies,Art,Newell 314
314,Technology,Phones,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White"
315,Office Supplies,Art,"BIC Brite Liner Highlighters, Chisel Tip"
316,Office Supplies,Paper,Xerox 1881
317,Office Supplies,Binders,Acco Hanging Data Binders
318,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System
319,Furniture,Bookcases,Sauder Barrister Bookcases
320,Office Supplies,Envelopes,"#10 Gummed Flap White Envelopes, 100/Box"
321,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush"
322,Office Supplies,Paper,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”"
323,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection
324,Office Supplies,Labels,"Avery Address/Shipping Labels for Typewriters, 4"" x 2"""
325,Furniture,Chairs,Global Ergonomic Managers Chair
326,Office Supplies,Art,Newell 333
327,Furniture,Furnishings,Eldon Wave Desk Accessories
328,Office Supplies,Binders,Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders
329,Office Supplies,Supplies,Staple remover
330,Office Supplies,Storage,Pizazz Global Quick File
331,Office Supplies,Paper,Xerox 1930
332,Office Supplies,Storage,File Shuttle I and Handi-File
333,Technology,Accessories,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router
334,Office Supplies,Art,Newell 324
335,Technology,Accessories,Microsoft Natural Keyboard Elite
336,Office Supplies,Paper,Xerox 1960
337,Furniture,Tables,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D"
338,Office Supplies,Appliances,Holmes Odor Grabber
339,Office Supplies,Storage,Akro-Mils 12-Gallon Tote
340,Office Supplies,Binders,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black"
341,Office Supplies,Paper,Southworth Structures Collection
342,Office Supplies,Binders,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8"""
343,Technology,Accessories,Sony 32GB Class 10 Micro SDHC R40 Memory Card
344,Furniture,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal"
345,Technology,Accessories,Logitech Media Keyboard K200
346,Technology,Machines,Lexmark MarkNet N8150 Wireless Print Server
347,Furniture,Furnishings,3M Hangers With Command Adhesive
348,Office Supplies,Art,Crayola Colored Pencils
349,Office Supplies,Binders,"Angle-D Binders with Locking Rings, Label Holders"
350,Technology,Phones,Nortel Meridian M3904 Professional Digital phone
351,Technology,Copiers,Canon PC1080F Personal Copier
352,Office Supplies,Binders,Wilson Jones Century Plastic Molded Ring Binders
353,Office Supplies,Binders,Tuf-Vin Binders
354,Office Supplies,Storage,2300 Heavy-Duty Transfer File Systems by Perma
355,Office Supplies,Paper,Xerox 1958
356,Office Supplies,Supplies,"Acme 10"" Easy Grip Assistive Scissors"
357,Office Supplies,Storage,Super Decoflex Portable Personal File
358,Office Supplies,Storage,"Contico 72""H Heavy-Duty Storage System"
359,Technology,Accessories,Sony 64GB Class 10 Micro SDHC R40 Memory Card
360,Office Supplies,Paper,Xerox 1974
361,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack"
362,Office Supplies,Appliances,Staple holder
363,Technology,Copiers,Sharp AL-1530CS Digital Copier
364,Office Supplies,Paper,"Wirebound Message Book, 4 per Page"
365,Furniture,Tables,"Bevis Round Conference Table Top, X-Base"
366,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4"""
367,Office Supplies,Labels,Self-Adhesive Removable Labels
368,Office Supplies,Paper,Xerox 1908
369,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine
370,Furniture,Chairs,Novimex High-Tech Fabric Mesh Task Chair
371,Office Supplies,Paper,Xerox 191
372,Office Supplies,Art,Bulldog Vacuum Base Pencil Sharpener
373,Furniture,Chairs,Bevis Steel Folding Chairs
374,Office Supplies,Paper,Xerox 1987
375,Office Supplies,Art,American Pencil
376,Office Supplies,Envelopes,"White Envelopes, White Envelopes with Clear Poly Window"
377,Technology,Accessories,KeyTronic 6101 Series - Keyboard - Black
378,Furniture,Furnishings,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black"
379,Office Supplies,Storage,Crate-A-Files
380,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs
381,Furniture,Furnishings,Coloredge Poster Frame
382,Office Supplies,Binders,GBC VeloBinder Manual Binding System
383,Technology,Machines,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner"
384,Office Supplies,Art,Design Ebony Sketching Pencil
385,Office Supplies,Binders,GBC ProClick 150 Presentation Binding System
386,Office Supplies,Storage,Woodgrain Magazine Files by Perma
387,Office Supplies,Storage,Letter Size Cart
388,Office Supplies,Binders,Insertable Tab Post Binder Dividers
389,Technology,Accessories,Belkin QODE FastFit Bluetooth Keyboard
390,Technology,Machines,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner"
391,Office Supplies,Paper,Xerox 1897
392,Furniture,Chairs,Global Deluxe Steno Chair
393,Furniture,Furnishings,Aluminum Document Frame
394,Office Supplies,Storage,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System
395,Office Supplies,Storage,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays
396,Office Supplies,Paper,"Xerox Color Copier Paper, 11"" x 17"", Ream"
397,Furniture,Chairs,Office Star - Ergonomically Designed Knee Chair
398,Office Supplies,Labels,Avery 520
399,Furniture,Furnishings,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs"
400,Office Supplies,Art,Newell 345
401,Office Supplies,Storage,Fellowes Bankers Box Recycled Super Stor/Drawer
402,Office Supplies,Art,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener
403,Office Supplies,Art,50 Colored Long Pencils
404,Office Supplies,Art,Newell 342
405,Technology,Phones,Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S
